budget	eps	target	goal	poison	target_loss_reinit	target_acc_reinit	target_loss_rerun	target_acc_rerun	brewed_loss	optim	iter	loss	tau	centreg	normreg	repel	init	pbatch	adv	ens	vruns	pshuffle	paugment	step	full_data	stagger	maxepoch	nadapt	data_aug	epochs	lr	poison_loss	restarts	step_decay	ablation	benchmark_idx	target_mloss_reinit	target_macc_reinit	target_mloss_rerun	target_macc_rerun	target_clean_loss_reinit	target_clean_acc_reinit	target_clean_loss_rerun	target_clean_acc_rerun	train_time	brew_time	test_time	train_loss_reinit	val_loss_reinit	train_acc_reinit	val_acc_reinit	train_loss_rerun	val_loss_rerun	train_acc_rerun	val_acc_rerun	train_loss_clean	val_loss_clean	train_acc_clean	val_acc_clean	poisonkey	modelkey	net	vnet
0.001	5.0	ship	deer	deer	1.86013662815094	0.0			0.0	signAdam	250	similarity	0.1	0	0	0	randn	1	0	1	1	False	True	False	False	False		2	default	40	0.1	cross-entropy	8	True	1.0	0	1.86013662815094	0.0			1.7581415176391602	0.0			0:00:00.000006	0:00:28.619209	0:02:09.175214	2.905323734521256	1.748201015629346	0.26766	0.3791379137913791									373785684	2749065936	ResNet34	
0.001	5.0	deer	bird	bird	2.128131866455078	0.0			0.0	signAdam	250	similarity	0.1	0	0	0	randn	1	0	1	1	False	True	False	False	False		2	default	40	0.1	cross-entropy	8	True	1.0	0	2.128131866455078	0.0			0.9685889482498169	1.0			0:00:00.000009	0:00:27.336057	0:02:06.896491	2.9720714933731975	1.7235941781273372	0.24796	0.38043804380438045									1279184159	3543188163	ResNet34	
